"global_step","agent_type: gru (SAVI BC Dataset_v0) - _step","agent_type: gru (SAVI BC Dataset_v0) - _step__MIN","agent_type: gru (SAVI BC Dataset_v0) - _step__MAX","agent_type: gru (SAVI BC Dataset_v0) - metrics/success","agent_type: gru (SAVI BC Dataset_v0) - metrics/success__MIN","agent_type: gru (SAVI BC Dataset_v0) - metrics/success__MAX","agent_type: gw (SAVI BC Dataset_v0) - _step","agent_type: gw (SAVI BC Dataset_v0) - _step__MIN","agent_type: gw (SAVI BC Dataset_v0) - _step__MAX","agent_type: gw (SAVI BC Dataset_v0) - metrics/success","agent_type: gw (SAVI BC Dataset_v0) - metrics/success__MIN","agent_type: gw (SAVI BC Dataset_v0) - metrics/success__MAX"
"1605000","428.4","428","429","0.24000000357627868","0","0.4000000059604645","429","429","429","0.24000000357627868","0","0.800000011920929"
"1620000","432.4","432","433","0.20000000596046447","0","0.6000000238418579","433","433","433","0.44000000357627866","0.20000000298023224","1"
"1635000","436.4","436","437","0.24000000357627868","0","0.4000000059604645","437","437","437","0.20000000596046447","0","0.6000000238418579"
"1650000","440.4","440","441","0.1600000023841858","0","0.4000000059604645","441","441","441","0.1600000023841858","0","0.4000000059604645"
"1665000","444.4","444","445","0.360000005364418","0","0.800000011920929","445","445","445","0.3600000023841858","0","1"
"1680000","448.4","448","449","0.3200000047683716","0","0.4000000059604645","449","449","449","0.4400000095367432","0","0.800000011920929"
"1695000","452.4","452","453","0.3200000047683716","0","1","453","453","453","0.28000000715255735","0","0.6000000238418579"
"1710000","456.4","456","457","0.3600000083446503","0","0.800000011920929","457","457","457","0.2800000041723251","0","0.800000011920929"
"1725000","460.4","460","461","0.44000001549720763","0.20000000298023224","0.6000000238418579","461","461","461","0.5200000047683716","0.20000000298023224","1"
"1740000","464.4","464","465","0.40000000298023225","0.20000000298023224","1","465","465","465","0.4400000095367432","0","1"
"1755000","468.4","468","469","0.360000005364418","0","0.800000011920929","469","469","469","0.5600000113248825","0.20000000298023224","0.800000011920929"
"1770000","472.4","472","473","0.44000000655651095","0","0.800000011920929","473","473","473","0.4000000089406967","0","0.800000011920929"
"1785000","476.4","476","477","0.3600000083446503","0","0.800000011920929","477","477","477","0.2800000041723251","0","0.800000011920929"
"1800000","480.4","480","481","0.3600000083446503","0","0.800000011920929","481","481","481","0.3200000047683716","0","0.800000011920929"
"1815000","484.4","484","485","0.28000000715255735","0","0.6000000238418579","485","485","485","0.4800000101327896","0.20000000298023224","0.800000011920929"
"1830000","488.4","488","489","0.5600000143051147","0.4000000059604645","0.800000011920929","489","489","489","0.3600000083446503","0.20000000298023224","0.6000000238418579"
"1845000","492.4","492","493","0.6000000059604644","0.4000000059604645","1","493","493","493","0.5200000077486038","0","1"
"1860000","496.4","496","497","0.560000017285347","0.20000000298023224","0.800000011920929","497","497","497","0.44000000655651095","0","1"
"1875000","500.4","500","501","0.3200000077486038","0","0.6000000238418579","501","501","501","0.5600000113248825","0.20000000298023224","1"
"1890000","504.4","504","505","0.5200000137090683","0.20000000298023224","0.800000011920929","505","505","505","0.3200000077486038","0","0.800000011920929"
"1905000","508.4","508","509","0.44000000357627866","0","1","509","509","509","0.3200000077486038","0","0.800000011920929"
"1920000","512.4","512","513","0.5200000077486038","0","1","513","513","513","0.44000001549720763","0.20000000298023224","0.6000000238418579"
"1935000","516.4","516","517","0.6400000035762787","0.4000000059604645","1","517","517","517","0.24000000059604645","0","1"
"1950000","520.4","520","521","0.7200000077486038","0.20000000298023224","1","521","521","521","0.44000000357627866","0","1"
"1965000","524.4","524","525","0.48000000417232513","0.20000000298023224","1","525","525","525","0.5200000107288361","0.20000000298023224","1"
"1980000","528.4","528","529","0.5200000166893005","0.4000000059604645","0.6000000238418579","529","529","529","0.360000005364418","0","0.800000011920929"
"1995000","532.4","532","533","0.4400000095367432","0","0.800000011920929","533","533","533","0.44000000655651095","0","0.800000011920929"
"2010000","536.4","536","537","0.5200000137090683","0.20000000298023224","0.800000011920929","537","537","537","0.36000001430511475","0","0.6000000238418579"
"2025000","540.4","540","541","0.5600000113248825","0.20000000298023224","1","541","541","541","0.3200000047683716","0","0.800000011920929"
"2040000","544.4","544","545","0.40000001192092893","0","0.800000011920929","545","545","545","0.48000000417232513","0.20000000298023224","1"
"2055000","548.4","548","549","0.4800000131130219","0","0.800000011920929","549","549","549","0.5200000077486038","0.20000000298023224","0.800000011920929"
"2070000","552.4","552","553","0.48000000715255736","0","0.800000011920929","553","553","553","0.4000000059604645","0","0.800000011920929"
"2085000","556.4","556","557","0.40000001192092893","0","0.800000011920929","557","557","557","0.4000000059604645","0","0.800000011920929"
"2100000","560.4","560","561","0.360000005364418","0","0.800000011920929","561","561","561","0.2800000041723251","0","0.4000000059604645"
"2115000","564.4","564","565","0.3600000083446503","0","0.800000011920929","565","565","565","0.3600000113248825","0","0.6000000238418579"
"2130000","568.4","568","569","0.24000000357627868","0","0.800000011920929","569","569","569","0.2800000041723251","0","0.800000011920929"
"2145000","572.4","572","573","0.2800000041723251","0","0.800000011920929","573","573","573","0.2800000041723251","0","0.800000011920929"
"2160000","576.4","576","577","0.24000000655651094","0","0.6000000238418579","577","577","577","0.3200000047683716","0","0.800000011920929"
"2175000","580.4","580","581","0.40000001192092893","0.20000000298023224","0.6000000238418579","581","581","581","0.24000000655651094","0","0.6000000238418579"
"2190000","584.4","584","585","0.2800000011920929","0","1","585","585","585","0.3600000083446503","0","0.800000011920929"
"2205000","588.4","588","589","0.3200000077486038","0","0.800000011920929","589","589","589","0.44000000655651095","0.20000000298023224","1"
"2220000","592.4","592","593","0.3200000077486038","0","0.6000000238418579","593","593","593","0.44000000655651095","0","1"
"2235000","596.4","596","597","0.3600000023841858","0","1","597","597","597","0.24000000655651094","0","0.6000000238418579"
"2250000","600.4","600","601","0.3200000047683716","0","0.800000011920929","601","601","601","0.4400000095367432","0.20000000298023224","0.800000011920929"
"2265000","604.4","604","605","0.44000000655651095","0","1","605","605","605","0.3600000023841858","0","1"
"2280000","608.4","608","609","0.4000000149011612","0","0.6000000238418579","609","609","609","0.3600000083446503","0.20000000298023224","0.6000000238418579"
"2295000","612.4","612","613","0.20000000298023224","0","0.4000000059604645","613","613","613","0.2800000041723251","0","0.4000000059604645"
"2310000","616.4","616","617","0.20000000298023224","0","0.4000000059604645","617","617","617","0.3600000083446503","0","0.6000000238418579"
"2325000","620.4","620","621","0.32000001072883605","0","0.6000000238418579","621","621","621","0.3200000047683716","0","0.4000000059604645"
"2340000","624.4","624","625","0.32000001072883605","0","0.6000000238418579","625","625","625","0.360000005364418","0","0.800000011920929"
"2355000","628.4","628","629","0.28000000715255735","0","0.6000000238418579","629","629","629","0.3600000083446503","0","0.800000011920929"
"2370000","632.4","632","633","0.24000000655651094","0","0.6000000238418579","633","633","633","0.32000001072883605","0","0.6000000238418579"
"2385000","636.4","636","637","0.1600000023841858","0","0.4000000059604645","637","637","637","0.5200000107288361","0","1"
"2400000","640.4","640","641","0.1600000023841858","0","0.800000011920929","641","641","641","0.3200000077486038","0.20000000298023224","0.6000000238418579"
"2415000","644.4","644","645","0.3600000083446503","0.20000000298023224","0.6000000238418579","645","645","645","0.20000000596046447","0","0.6000000238418579"
"2430000","648.4","648","649","0.4800000131130219","0","0.800000011920929","649","649","649","0.3600000113248825","0","0.6000000238418579"
"2445000","652.4","652","653","0.28000000715255735","0","0.6000000238418579","653","653","653","0.20000000298023224","0","0.4000000059604645"
"2460000","656.4","656","657","0.3200000047683716","0","0.800000011920929","657","657","657","0.4000000149011612","0","0.6000000238418579"
"2475000","660.4","660","661","0.24000000357627868","0","0.4000000059604645","661","661","661","0.28000000715255735","0","0.6000000238418579"
"2490000","664.4","664","665","0.24000000357627868","0","0.4000000059604645","665","665","665","0.4800000101327896","0.20000000298023224","0.800000011920929"
"2505000","668.4","668","669","0.48000000417232513","0","1","669","669","669","0.4800000131130219","0","0.800000011920929"
"2520000","672.4","672","673","0.4800000101327896","0.20000000298023224","0.800000011920929","673","673","673","0.48000001907348633","0","0.6000000238418579"
