"global_step","agent_type: gru (SAVI BC Dataset_v0) - _step","agent_type: gru (SAVI BC Dataset_v0) - _step__MIN","agent_type: gru (SAVI BC Dataset_v0) - _step__MAX","agent_type: gru (SAVI BC Dataset_v0) - metrics/success","agent_type: gru (SAVI BC Dataset_v0) - metrics/success__MIN","agent_type: gru (SAVI BC Dataset_v0) - metrics/success__MAX","agent_type: gw (Run set 2) - _step","agent_type: gw (Run set 2) - _step__MIN","agent_type: gw (Run set 2) - _step__MAX","agent_type: gw (Run set 2) - metrics/success","agent_type: gw (Run set 2) - metrics/success__MIN","agent_type: gw (Run set 2) - metrics/success__MAX"
"1560000","416.2","416","417","0.4800000101327896","0","0.800000011920929","416","416","416","0.24000000953674316","0","0.6000000238418579"
"1575000","420.2","420","421","0.48000000417232513","0","1","420","420","420","0.24000000655651094","0","0.6000000238418579"
"1590000","424.2","424","425","0.5600000113248825","0.20000000298023224","1","424","424","424","0.1600000023841858","0","0.800000011920929"
"1605000","428.2","428","429","0.6000000059604644","0","1","428","428","428","0.2800000041723251","0","0.800000011920929"
"1620000","432.2","432","433","0.5200000077486038","0","0.800000011920929","432","432","432","0.24000000655651094","0","0.6000000238418579"
"1635000","436.2","436","437","0.360000005364418","0","0.800000011920929","436","436","436","0.2800000041723251","0","0.800000011920929"
"1650000","440.2","440","441","0.360000005364418","0.20000000298023224","0.800000011920929","440","440","440","0.20000000298023224","0","0.800000011920929"
"1665000","444.2","444","445","0.40000000298023225","0","1","444","444","444","0.3200000047683716","0","1"
"1680000","448.2","448","449","0.24000000357627868","0","0.4000000059604645","448","448","448","0.3600000083446503","0","0.800000011920929"
"1695000","452.2","452","453","0.44000000655651095","0","0.800000011920929","452","452","452","0.20000000596046447","0","0.6000000238418579"
"1710000","456.2","456","457","0.48000000417232513","0","1","456","456","456","0.24000000357627868","0","0.4000000059604645"
"1725000","460.2","460","461","0.3600000083446503","0.20000000298023224","0.6000000238418579","460","460","460","0.3600000023841858","0","1"
"1740000","464.2","464","465","0.3200000047683716","0","0.800000011920929","464","464","464","0.12000000476837158","0","0.6000000238418579"
"1755000","468.2","468","469","0.4000000059604645","0","1","468","468","468","0.24000000655651094","0","0.6000000238418579"
"1770000","472.2","472","473","0.3200000047683716","0","0.800000011920929","472","472","472","0.20000000298023224","0","0.800000011920929"
"1785000","476.2","476","477","0.2800000041723251","0","0.800000011920929","476","476","476","0.4000000059604645","0.20000000298023224","0.800000011920929"
"1800000","480.2","480","481","0.2800000011920929","0","1","480","480","480","0.2800000011920929","0","1"
"1815000","484.2","484","485","0.40000000298023225","0","1","484","484","484","0.20000000298023224","0","0.4000000059604645"
"1830000","488.2","488","489","0.3600000023841858","0","1","488","488","488","0.2800000041723251","0","0.800000011920929"
"1845000","492.2","492","493","0.40000000298023225","0","1","492","492","492","0.32000001072883605","0","0.6000000238418579"
"1860000","496.2","496","497","0.40000001192092893","0.20000000298023224","0.6000000238418579","496","496","496","0.360000005364418","0","0.800000011920929"
"1875000","500.2","500","501","0.4000000059604645","0","1","500","500","500","0.20000000596046447","0","0.6000000238418579"
"1890000","504.2","504","505","0.4000000089406967","0","0.800000011920929","504","504","504","0.3200000077486038","0","0.6000000238418579"
"1905000","508.2","508","509","0.3200000077486038","0","0.800000011920929","508","508","508","0.16000000536441802","0","0.6000000238418579"
"1920000","512.2","512","513","0.3600000113248825","0","0.6000000238418579","512","512","512","0.24000000059604645","0","1"
"1935000","516.2","516","517","0.3200000077486038","0","0.800000011920929","516","516","516","0.32000000178813937","0","1"
"1950000","520.2","520","521","0.3200000077486038","0","0.800000011920929","520","520","520","0.1600000023841858","0","0.4000000059604645"
"1965000","524.2","524","525","0.3200000077486038","0","0.800000011920929","524","524","524","0.04000000059604645","0","0.20000000298023224"
"1980000","528.2","528","529","0.3200000047683716","0","1","528","528","528","0.12000000178813934","0","0.20000000298023224"
"1995000","532.2","532","533","0.32000000178813937","0","1","532","532","532","0","0","0"
"2010000","536.2","536","537","0.3600000023841858","0","1","536","536","536","0.1600000023841858","0","0.4000000059604645"
"2025000","540.2","540","541","0.360000005364418","0","1","540","540","540","0.12000000178813934","0","0.4000000059604645"
"2040000","544.2","544","545","0.44000000655651095","0","1","544","544","544","0.0800000011920929","0","0.20000000298023224"
"2055000","548.2","548","549","0.40000000298023225","0","1","548","548","548","0.24000000655651094","0","0.6000000238418579"
"2070000","552.2","552","553","0.360000005364418","0","0.800000011920929","552","552","552","0","0","0"
"2085000","556.2","556","557","0.40000001192092893","0","0.6000000238418579","556","556","556","0.04000000059604645","0","0.20000000298023224"
"2100000","560.2","560","561","0.5200000137090683","0.20000000298023224","0.800000011920929","560","560","560","0.1600000023841858","0","0.4000000059604645"
"2115000","564.2","564","565","0.4000000089406967","0.20000000298023224","0.800000011920929","564","564","564","0.04000000059604645","0","0.20000000298023224"
"2130000","568.2","568","569","0.4800000101327896","0.20000000298023224","0.800000011920929","568","568","568","0.20000000596046447","0","0.6000000238418579"
"2145000","572.2","572","573","0.48000000715255736","0","1","572","572","572","0.12000000178813934","0","0.20000000298023224"
"2160000","576.2","576","577","0.4000000089406967","0","0.800000011920929","576","576","576","0.1600000023841858","0","0.4000000059604645"
"2175000","580.2","580","581","0.4800000160932541","0.20000000298023224","0.6000000238418579","580","580","580","0.20000000596046447","0","0.6000000238418579"
"2190000","584.2","584","585","0.28000000715255735","0","0.6000000238418579","584","584","584","0.24000000655651094","0","0.6000000238418579"
"2205000","588.2","588","589","0.4400000095367432","0.20000000298023224","0.800000011920929","588","588","588","0.3600000113248825","0","0.6000000238418579"
"2220000","592.2","592","593","0.4800000131130219","0.4000000059604645","0.6000000238418579","592","592","592","0.32000001072883605","0","0.6000000238418579"
"2235000","596.2","596","597","0.5600000113248825","0.20000000298023224","0.800000011920929","596","596","596","0.32000001072883605","0","0.6000000238418579"
"2250000","600.2","600","601","0.3600000083446503","0.20000000298023224","0.6000000238418579","600","600","600","0.24000000655651094","0","0.6000000238418579"
"2265000","604.2","604","605","0.44000000655651095","0","1","604","604","604","0.24000000655651094","0","0.6000000238418579"
"2280000","608.2","608","609","0.48000000417232513","0","1","608","608","608","0.24000000655651094","0","0.6000000238418579"
"2295000","612.2","612","613","0.5200000107288361","0.20000000298023224","0.800000011920929","612","612","612","0.1600000023841858","0","0.20000000298023224"
"2310000","616.2","616","617","0.6400000095367432","0.4000000059604645","1","616","616","616","0.24000000655651094","0","0.6000000238418579"
"2325000","620.2","620","621","0.3600000023841858","0.20000000298023224","1","620","620","620","0.3600000083446503","0","0.800000011920929"
"2340000","624.2","624","625","0.5200000107288361","0.20000000298023224","1","624","624","624","0.2800000041723251","0","0.800000011920929"
"2355000","628.2","628","629","0.4800000101327896","0","1","628","628","628","0.24000000357627868","0","0.800000011920929"
"2370000","632.2","632","633","0.4400000125169754","0","0.800000011920929","632","632","632","0.20000000298023224","0","0.4000000059604645"
"2385000","636.2","636","637","0.44000000357627866","0","1","636","636","636","0.1600000023841858","0","0.4000000059604645"
"2400000","640.2","640","641","0.40000000298023225","0","1","640","640","640","0.3200000077486038","0","0.6000000238418579"
"2415000","644.2","644","645","0.5200000107288361","0","1","644","644","644","0.1600000023841858","0","0.4000000059604645"
"2430000","648.2","648","649","0.360000005364418","0","0.800000011920929","648","648","648","0.1600000023841858","0","0.4000000059604645"
"2445000","652.2","652","653","0.4800000160932541","0.20000000298023224","0.6000000238418579","652","652","652","0.24000000357627868","0","0.4000000059604645"
"2460000","656.2","656","657","0.4000000089406967","0","0.800000011920929","656","656","656","0.28000001013278963","0","0.6000000238418579"
"2475000","660.2","660","661","0.40000000298023225","0","1","660","660","660","0.24000000655651094","0","0.6000000238418579"
"2490000","664.2","664","665","0.40000001192092893","0.20000000298023224","0.6000000238418579","664","664","664","0.28000000715255735","0","0.6000000238418579"
"2505000","668.2","668","669","0.44000001549720763","0","0.6000000238418579","668","668","668","0.24000000953674316","0","0.6000000238418579"
"2520000","672.2","672","673","0.4400000125169754","0.20000000298023224","0.6000000238418579","672","672","672","0.12000000178813934","0","0.20000000298023224"
"2535000","676.2","676","677","0.4000000059604645","0","0.800000011920929","676","676","676","0.16000000536441802","0","0.6000000238418579"
"2550000","680.2","680","681","0.360000005364418","0","1","680","680","680","0.1600000023841858","0","0.4000000059604645"
"2565000","684.2","684","685","0.20000000596046447","0","0.6000000238418579","684","684","684","0.24000000655651094","0","0.6000000238418579"
"2580000","688.2","688","689","0.44000000655651095","0","0.800000011920929","688","688","688","0.12000000178813934","0","0.4000000059604645"
"2595000","692.2","692","693","0.48000000715255736","0.20000000298023224","1","692","692","692","0.20000000298023224","0","0.4000000059604645"
"2610000","696.2","696","697","0.4400000095367432","0.20000000298023224","0.800000011920929","696","696","696","0.04000000059604645","0","0.20000000298023224"
"2625000","700.2","700","701","0.5200000107288361","0","0.800000011920929","700","700","700","0.0800000011920929","0","0.20000000298023224"
"2640000","704.2","704","705","0.4400000095367432","0","0.800000011920929","704","704","704","0.20000000298023224","0","0.4000000059604645"
"2655000","708.2","708","709","0.3600000083446503","0","0.800000011920929","708","708","708","0.3200000047683716","0","0.800000011920929"
"2670000","712.2","712","713","0.4000000089406967","0","0.800000011920929","712","712","712","0.12000000178813934","0","0.4000000059604645"
"2685000","716.2","716","717","0.4000000059604645","0.20000000298023224","0.800000011920929","716","716","716","0.1600000023841858","0","0.4000000059604645"
"2700000","720.2","720","721","0.4000000059604645","0.20000000298023224","0.800000011920929","720","720","720","0.20000000596046447","0","0.6000000238418579"
"2715000","724.2","724","725","0.44000000357627866","0","1","724","724","724","0.28000000715255735","0","0.6000000238418579"
"2730000","728.2","728","729","0.4000000089406967","0","0.800000011920929","728","728","728","0.28000000715255735","0","0.6000000238418579"
"2745000","732.2","732","733","0.3600000023841858","0","1","732","732","732","0.20000000596046447","0","0.6000000238418579"
"2760000","736.2","736","737","0.5600000083446502","0.4000000059604645","1","736","736","736","0.20000000596046447","0","0.6000000238418579"
"2775000","740.2","740","741","0.48000000417232513","0","1","740","740","740","0.2800000041723251","0","0.800000011920929"
"2790000","744.2","744","745","0.48000000715255736","0.20000000298023224","0.800000011920929","744","744","744","0.16000000536441802","0","0.6000000238418579"
"2805000","748.2","748","749","0.5200000107288361","0.20000000298023224","0.800000011920929","748","748","748","0.28000000715255735","0","0.6000000238418579"
"2820000","752.2","752","753","0.5200000047683716","0.20000000298023224","1","752","752","752","0.3600000083446503","0","0.800000011920929"
"2835000","756.2","756","757","0.4400000095367432","0","0.800000011920929","756","756","756","0.0800000011920929","0","0.4000000059604645"
"2850000","760.2","760","761","0.44000000357627866","0.20000000298023224","1","760","760","760","0.16000000536441802","0","0.6000000238418579"
"2865000","764.2","764","765","0.24000000357627868","0.20000000298023224","0.4000000059604645","764","764","764","0.28000000715255735","0","0.800000011920929"
"2880000","768.2","768","769","0.24000000357627868","0.20000000298023224","0.4000000059604645","768","768","768","0.44000000357627866","0","1"
"2895000","772.2","772","773","0.1600000023841858","0","0.4000000059604645","772","772","772","0.3200000077486038","0","0.800000011920929"
"2910000","776.2","776","777","0.12000000178813934","0","0.4000000059604645","776","776","776","0.4000000059604645","0","0.800000011920929"
"2925000","780.2","780","781","0.3600000113248825","0","0.6000000238418579","780","780","780","0.24000000357627868","0","0.800000011920929"
"2940000","784.2","784","785","0.4000000089406967","0.20000000298023224","0.800000011920929","784","784","784","0.3200000077486038","0","0.6000000238418579"
"2955000","788.2","788","789","0.28000000715255735","0","0.6000000238418579","788","788","788","0.24000000655651094","0","0.6000000238418579"
"2970000","792.2","792","793","0.20000000298023224","0","0.4000000059604645","792","792","792","0.3600000113248825","0.20000000298023224","0.6000000238418579"
"2985000","796.2","796","797","0.24000000953674316","0","0.6000000238418579","796","796","796","0.3200000077486038","0.20000000298023224","0.6000000238418579"
"3000000","800.2","800","801","0.3200000077486038","0.20000000298023224","0.6000000238418579","800","800","800","0.2800000041723251","0.20000000298023224","0.4000000059604645"
"3015000","804.2","804","805","0.16000000536441802","0","0.6000000238418579","804","804","804","0.32000001072883605","0","0.6000000238418579"
"3030000","808.2","808","809","0.20000000596046447","0","0.6000000238418579","808","808","808","0.20000000298023224","0","0.4000000059604645"
"3045000","812.2","812","813","0.24000000655651094","0","0.6000000238418579","812","812","812","0.28000001013278963","0","0.6000000238418579"
"3060000","816.2","816","817","0.1600000023841858","0","0.4000000059604645","816","816","816","0.3600000083446503","0","0.800000011920929"
"3075000","820.2","820","821","0.28000000715255735","0","0.6000000238418579","820","820","820","0.4000000089406967","0.20000000298023224","0.6000000238418579"
"3090000","824.2","824","825","0.16000000536441802","0","0.6000000238418579","824","824","824","0.4000000059604645","0","1"
"3105000","828.2","828","829","0.1600000023841858","0","0.20000000298023224","828","828","828","0.3200000077486038","0","0.6000000238418579"
"3120000","832.2","832","833","0.1600000023841858","0","0.4000000059604645","832","832","832","0.3600000083446503","0.20000000298023224","0.6000000238418579"
"3135000","836.2","836","837","0.3600000083446503","0.20000000298023224","0.6000000238418579","836","836","836","0.24000000655651094","0","0.6000000238418579"
"3150000","840.2","840","841","0.1600000023841858","0","0.4000000059604645","840","840","840","0.20000000298023224","0","0.4000000059604645"
"3165000","844.2","844","845","0.3600000113248825","0","0.6000000238418579","844","844","844","0.3200000077486038","0","0.6000000238418579"
"3180000","848.2","848","849","0.3600000083446503","0.20000000298023224","0.6000000238418579","848","848","848","0.24000000655651094","0","0.6000000238418579"
"3195000","852.2","852","853","0.24000000357627868","0","0.800000011920929","852","852","852","0.20000000298023224","0.20000000298023224","0.20000000298023224"
"3210000","856.2","856","857","0.20000000298023224","0","0.4000000059604645","856","856","856","0.24000000655651094","0","0.6000000238418579"
"3225000","860.2","860","861","0.24000000655651094","0","0.6000000238418579","860","860","860","0.12000000178813934","0","0.20000000298023224"
"3240000","864.2","864","865","0.20000000298023224","0","0.4000000059604645","864","864","864","0.2800000041723251","0","0.4000000059604645"
"3255000","868.2","868","869","0.4000000089406967","0","0.800000011920929","868","868","868","0.2800000041723251","0","0.4000000059604645"
"3270000","872.2","872","873","0.4800000131130219","0","0.800000011920929","872","872","872","0.24000000655651094","0","0.6000000238418579"
"3285000","876.2","876","877","0.5200000137090683","0.20000000298023224","0.800000011920929","876","876","876","0.3600000083446503","0","0.800000011920929"
"3300000","880.2","880","881","0.3600000113248825","0.20000000298023224","0.6000000238418579","880","880","880","0.3600000083446503","0","0.6000000238418579"
"3315000","884.2","884","885","0.4000000089406967","0","0.800000011920929","884","884","884","0.4000000149011612","0","0.6000000238418579"
"3330000","888.2","888","889","0.20000000596046447","0","0.6000000238418579","888","888","888","0.44000001549720763","0","0.6000000238418579"
"3345000","892.2","892","893","0.44000000655651095","0.20000000298023224","0.800000011920929","892","892","892","0.04000000059604645","0","0.20000000298023224"
"3360000","896.2","896","897","0.28000000715255735","0","0.6000000238418579","896","896","896","0.24000000357627868","0","0.4000000059604645"
"3375000","900.2","900","901","0.4800000101327896","0.20000000298023224","0.800000011920929","900","900","900","0.3200000077486038","0","0.6000000238418579"
"3390000","904.2","904","905","0.28000001013278963","0","0.6000000238418579","904","904","904","0.40000001192092893","0.20000000298023224","0.6000000238418579"
"3405000","908.2","908","909","0.40000001192092893","0","0.6000000238418579","908","908","908","0.24000000357627868","0","0.4000000059604645"
"3420000","912.2","912","913","0.3600000083446503","0.20000000298023224","0.6000000238418579","912","912","912","0.3200000047683716","0","0.800000011920929"
"3435000","916.2","916","917","0.360000005364418","0.20000000298023224","0.800000011920929","916","916","916","0.5200000137090683","0.20000000298023224","0.800000011920929"
"3450000","920.2","920","921","0.3200000077486038","0","0.6000000238418579","920","920","920","0.44000000655651095","0.20000000298023224","0.800000011920929"
"3465000","924.2","924","925","0.5200000137090683","0.20000000298023224","0.800000011920929","924","924","924","0.44000001549720763","0","0.6000000238418579"
"3480000","928.2","928","929","0.24000000655651094","0","0.6000000238418579","928","928","928","0.48000000715255736","0","1"
